Vertice: 1 | Pai: 0 | Level: 0
Vertice: 2 | Pai: 3771 | Level: 2231
Vertice: 3 | Pai: 3474 | Level: 4921
Vertice: 4 | Pai: 4829 | Level: 7238
Vertice: 5 | Pai: 975 | Level: 8044
Vertice: 6 | Pai: 475 | Level: 7295
Vertice: 7 | Pai: 3303 | Level: 2227
Vertice: 8 | Pai: 3942 | Level: 4406
Vertice: 9 | Pai: 7479 | Level: 1092
Vertice: 10 | Pai: 3075 | Level: 9233
Vertice: 11 | Pai: 5138 | Level: 9196
Vertice: 12 | Pai: 9772 | Level: 1211
Vertice: 13 | Pai: 6182 | Level: 6948
Vertice: 14 | Pai: 9749 | Level: 8627
Vertice: 15 | Pai: 8920 | Level: 6692
Vertice: 16 | Pai: 9637 | Level: 5662
Vertice: 17 | Pai: 775 | Level: 7897
Vertice: 18 | Pai: 662 | Level: 568
Vertice: 19 | Pai: 1154 | Level: 5258
Vertice: 20 | Pai: 3575 | Level: 9234
Vertice: 21 | Pai: 5242 | Level: 6810
Vertice: 22 | Pai: 4682 | Level: 825
Vertice: 23 | Pai: 8504 | Level: 1996
Vertice: 24 | Pai: 9253 | Level: 7201
Vertice: 25 | Pai: 2011 | Level: 6689
Vertice: 26 | Pai: 5928 | Level: 1532
Vertice: 27 | Pai: 9317 | Level: 4393
Vertice: 28 | Pai: 5262 | Level: 3474
Vertice: 29 | Pai: 7053 | Level: 8814
Vertice: 30 | Pai: 6071 | Level: 4699
Vertice: 31 | Pai: 5240 | Level: 121
Vertice: 32 | Pai: 4121 | Level: 6228
Vertice: 33 | Pai: 8798 | Level: 6146
Vertice: 34 | Pai: 3219 | Level: 8884
Vertice: 35 | Pai: 1731 | Level: 4741
Vertice: 36 | Pai: 1263 | Level: 3041
Vertice: 37 | Pai: 5503 | Level: 6382
Vertice: 38 | Pai: 9777 | Level: 758
Vertice: 39 | Pai: 1445 | Level: 9178
Vertice: 40 | Pai: 9165 | Level: 1642
Vertice: 41 | Pai: 309 | Level: 1525
Vertice: 42 | Pai: 9314 | Level: 9230
Vertice: 43 | Pai: 9660 | Level: 8456
Vertice: 44 | Pai: 2144 | Level: 6846
Vertice: 45 | Pai: 9882 | Level: 7434
Vertice: 46 | Pai: 4279 | Level: 7299
Vertice: 47 | Pai: 4742 | Level: 3508
Vertice: 48 | Pai: 1366 | Level: 4719
Vertice: 49 | Pai: 8838 | Level: 8911
Vertice: 50 | Pai: 4324 | Level: 2613
Vertice: 51 | Pai: 3654 | Level: 3639
Vertice: 52 | Pai: 4903 | Level: 695
Vertice: 53 | Pai: 5271 | Level: 2214
Vertice: 54 | Pai: 2317 | Level: 889
Vertice: 55 | Pai: 6948 | Level: 3506
Vertice: 56 | Pai: 1284 | Level: 7211
Vertice: 57 | Pai: 5932 | Level: 1044
Vertice: 58 | Pai: 3859 | Level: 3186
Vertice: 59 | Pai: 7450 | Level: 9177
Vertice: 60 | Pai: 6369 | Level: 4839
Vertice: 61 | Pai: 4014 | Level: 1580
Vertice: 62 | Pai: 4748 | Level: 2923
Vertice: 63 | Pai: 9311 | Level: 2393
Vertice: 64 | Pai: 1169 | Level: 1635
Vertice: 65 | Pai: 8077 | Level: 1297
Vertice: 66 | Pai: 8720 | Level: 3456
Vertice: 67 | Pai: 7345 | Level: 1090
Vertice: 68 | Pai: 7379 | Level: 1203
Vertice: 69 | Pai: 5470 | Level: 4512
Vertice: 70 | Pai: 8057 | Level: 63
Vertice: 71 | Pai: 1002 | Level: 7517
Vertice: 72 | Pai: 3135 | Level: 3783
Vertice: 73 | Pai: 5664 | Level: 5934
Vertice: 74 | Pai: 1888 | Level: 869
Vertice: 75 | Pai: 6184 | Level: 2296
Vertice: 76 | Pai: 7148 | Level: 8290
Vertice: 77 | Pai: 7300 | Level: 1903
Vertice: 78 | Pai: 7694 | Level: 2839
Vertice: 79 | Pai: 261 | Level: 9210
Vertice: 80 | Pai: 3798 | Level: 5423
Vertice: 81 | Pai: 5727 | Level: 7919
Vertice: 82 | Pai: 3559 | Level: 5033
Vertice: 83 | Pai: 967 | Level: 8929
Vertice: 84 | Pai: 1679 | Level: 7572
Vertice: 85 | Pai: 4378 | Level: 5680
Vertice: 86 | Pai: 1171 | Level: 8015
Vertice: 87 | Pai: 9864 | Level: 8604
Vertice: 88 | Pai: 1384 | Level: 2573
Vertice: 89 | Pai: 9596 | Level: 3634
Vertice: 90 | Pai: 1234 | Level: 4876
Vertice: 91 | Pai: 9871 | Level: 8079
Vertice: 92 | Pai: 7831 | Level: 8988
Vertice: 93 | Pai: 8521 | Level: 8417
Vertice: 94 | Pai: 8058 | Level: 3184
Vertice: 95 | Pai: 6051 | Level: 7313
Vertice: 96 | Pai: 3967 | Level: 6823
Vertice: 97 | Pai: 703 | Level: 5250
Vertice: 98 | Pai: 5200 | Level: 8790
Vertice: 99 | Pai: 2044 | Level: 816
Vertice: 100 | Pai: 3017 | Level: 6121
Vertice: 101 | Pai: 1551 | Level: 719
Vertice: 102 | Pai: 212 | Level: 5310
Vertice: 103 | Pai: 6390 | Level: 3149
Vertice: 104 | Pai: 2489 | Level: 208
Vertice: 105 | Pai: 4212 | Level: 5294
Vertice: 106 | Pai: 8274 | Level: 96
Vertice: 107 | Pai: 1259 | Level: 5844
Vertice: 108 | Pai: 1096 | Level: 4317
Vertice: 109 | Pai: 4022 | Level: 2639
Vertice: 110 | Pai: 8466 | Level: 5214
Vertice: 111 | Pai: 3485 | Level: 570
Vertice: 112 | Pai: 3171 | Level: 5265
Vertice: 113 | Pai: 827 | Level: 981
Vertice: 114 | Pai: 4635 | Level: 8230
Vertice: 115 | Pai: 9423 | Level: 4789
Vertice: 116 | Pai: 9428 | Level: 3895
Vertice: 117 | Pai: 4503 | Level: 4108
Vertice: 118 | Pai: 3120 | Level: 7933
Vertice: 119 | Pai: 4713 | Level: 130
Vertice: 120 | Pai: 8181 | Level: 3207
Vertice: 121 | Pai: 7126 | Level: 164
Vertice: 122 | Pai: 8950 | Level: 8749
Vertice: 123 | Pai: 8671 | Level: 523
Vertice: 124 | Pai: 3987 | Level: 898
Vertice: 125 | Pai: 8040 | Level: 3220
Vertice: 126 | Pai: 3095 | Level: 2508
Vertice: 127 | Pai: 9794 | Level: 6923
Vertice: 128 | Pai: 1693 | Level: 1108
Vertice: 129 | Pai: 2401 | Level: 4667
Vertice: 130 | Pai: 2075 | Level: 9018
Vertice: 131 | Pai: 1085 | Level: 726
