Vertice: 134 | Pai: 4282 | Level: 3
Vertice: 135 | Pai: 8539 | Level: 3
Vertice: 136 | Pai: 2842 | Level: 3
Vertice: 137 | Pai: 1564 | Level: 3
Vertice: 138 | Pai: 9132 | Level: 3
Vertice: 139 | Pai: 4390 | Level: 4
Vertice: 140 | Pai: 9971 | Level: 4
Vertice: 141 | Pai: 7652 | Level: 3
Vertice: 142 | Pai: 387 | Level: 4
Vertice: 143 | Pai: 1492 | Level: 4
Vertice: 144 | Pai: 9709 | Level: 3
Vertice: 145 | Pai: 6893 | Level: 4
Vertice: 146 | Pai: 8047 | Level: 2
Vertice: 147 | Pai: 9472 | Level: 4
Vertice: 148 | Pai: 9661 | Level: 3
Vertice: 149 | Pai: 4441 | Level: 3
Vertice: 150 | Pai: 6088 | Level: 3
Vertice: 151 | Pai: 8040 | Level: 4
Vertice: 152 | Pai: 9462 | Level: 2
Vertice: 153 | Pai: 4066 | Level: 3
Vertice: 154 | Pai: 532 | Level: 4
Vertice: 155 | Pai: 1344 | Level: 4
Vertice: 156 | Pai: 7366 | Level: 4
Vertice: 157 | Pai: 8988 | Level: 3
Vertice: 158 | Pai: 3164 | Level: 3
Vertice: 159 | Pai: 1165 | Level: 3
Vertice: 160 | Pai: 5595 | Level: 4
Vertice: 161 | Pai: 3610 | Level: 4
Vertice: 162 | Pai: 3321 | Level: 4
Vertice: 163 | Pai: 7270 | Level: 4
Vertice: 164 | Pai: 4996 | Level: 3
Vertice: 165 | Pai: 7770 | Level: 4
Vertice: 166 | Pai: 1525 | Level: 4
Vertice: 167 | Pai: 4133 | Level: 3
Vertice: 168 | Pai: 9339 | Level: 3
Vertice: 169 | Pai: 7541 | Level: 4
Vertice: 170 | Pai: 4925 | Level: 3
Vertice: 171 | Pai: 2148 | Level: 3
Vertice: 172 | Pai: 4282 | Level: 3
Vertice: 173 | Pai: 5457 | Level: 3
Vertice: 174 | Pai: 296 | Level: 4
Vertice: 175 | Pai: 1457 | Level: 4
Vertice: 176 | Pai: 8135 | Level: 3
Vertice: 177 | Pai: 6072 | Level: 3
Vertice: 178 | Pai: 8767 | Level: 4
Vertice: 179 | Pai: 5444 | Level: 4
Vertice: 180 | Pai: 2958 | Level: 3
Vertice: 181 | Pai: 3333 | Level: 4
Vertice: 182 | Pai: 8359 | Level: 3
Vertice: 183 | Pai: 8959 | Level: 4
Vertice: 184 | Pai: 6562 | Level: 4
Vertice: 185 | Pai: 8304 | Level: 4
Vertice: 186 | Pai: 3380 | Level: 4
Vertice: 187 | Pai: 6904 | Level: 3
Vertice: 188 | Pai: 7263 | Level: 3
Vertice: 189 | Pai: 1820 | Level: 4
Vertice: 190 | Pai: 3034 | Level: 3
Vertice: 191 | Pai: 1553 | Level: 3
Vertice: 192 | Pai: 3962 | Level: 3
Vertice: 193 | Pai: 8539 | Level: 3
Vertice: 194 | Pai: 9872 | Level: 4
Vertice: 195 | Pai: 488 | Level: 3
Vertice: 196 | Pai: 5850 | Level: 3
Vertice: 197 | Pai: 2262 | Level: 4
Vertice: 198 | Pai: 6553 | Level: 4
Vertice: 199 | Pai: 5963 | Level: 4
Vertice: 200 | Pai: 9510 | Level: 4
Vertice: 201 | Pai: 2148 | Level: 3
Vertice: 202 | Pai: 8988 | Level: 3
Vertice: 203 | Pai: 313 | Level: 4
Vertice: 204 | Pai: 7462 | Level: 3
Vertice: 205 | Pai: 5504 | Level: 4
Vertice: 206 | Pai: 8177 | Level: 3
Vertice: 207 | Pai: 3164 | Level: 3
Vertice: 208 | Pai: 5274 | Level: 4
Vertice: 209 | Pai: 7936 | Level: 4
Vertice: 210 | Pai: 360 | Level: 4
Vertice: 211 | Pai: 8128 | Level: 4
Vertice: 212 | Pai: 5963 | Level: 4
Vertice: 213 | Pai: 577 | Level: 4
Vertice: 214 | Pai: 9943 | Level: 4
Vertice: 215 | Pai: 9253 | Level: 3
Vertice: 216 | Pai: 5452 | Level: 4
Vertice: 217 | Pai: 5311 | Level: 3
Vertice: 218 | Pai: 1673 | Level: 4
Vertice: 219 | Pai: 2776 | Level: 4
Vertice: 220 | Pai: 8209 | Level: 3
Vertice: 221 | Pai: 5215 | Level: 3
Vertice: 222 | Pai: 5452 | Level: 4
Vertice: 223 | Pai: 8531 | Level: 3
Vertice: 224 | Pai: 9784 | Level: 4
Vertice: 225 | Pai: 4308 | Level: 4
Vertice: 226 | Pai: 7818 | Level: 4
Vertice: 227 | Pai: 6121 | Level: 4
Vertice: 228 | Pai: 2338 | Level: 3
Vertice: 229 | Pai: 6143 | Level: 3
Vertice: 230 | Pai: 3932 | Level: 4
Vertice: 231 | Pai: 6553 | Level: 4
Vertice: 232 | Pai: 4607 | Level: 4
Vertice: 233 | Pai: 8490 | Level: 4
Vertice: 234 | Pai: 4864 | Level: 3
Vertice: 235 | Pai: 2481 | Level: 4
Vertice: 236 | Pai: 1676 | Level: 3
Vertice: 237 | Pai: 8894 | Level: 4
Vertice: 238 | Pai: 9814 | Level: 3
Vertice: 239 | Pai: 2845 | Level: 3
Vertice: 240 | Pai: 4090 | Level: 3
Vertice: 241 | Pai: 2817 | Level: 3
Vertice: 242 | Pai: 7895 | Level: 3
Vertice: 243 | Pai: 4164 | Level: 3
Vertice: 244 | Pai: 8359 | Level: 3
Vertice: 245 | Pai: 1605 | Level: 3
Vertice: 246 | Pai: 8351 | Level: 4
Vertice: 247 | Pai: 8198 | Level: 3
Vertice: 248 | Pai: 5536 | Level: 3
Vertice: 249 | Pai: 1240 | Level: 4
Vertice: 250 | Pai: 9606 | Level: 3
Vertice: 251 | Pai: 5514 | Level: 3
Vertice: 252 | Pai: 1605 | Level: 3
Vertice: 253 | Pai: 9054 | Level: 4
Vertice: 254 | Pai: 8145 | Level: 3
Vertice: 255 | Pai: 1605 | Level: 3
Vertice: 256 | Pai: 9782 | Level: 3
Vertice: 257 | Pai: 656 | Level: 3
Vertice: 258 | Pai: 6394 | Level: 3
Vertice: 259 | Pai: 4946 | Level: 3
Vertice: 260 | Pai: 1587 | Level: 4
Vertice: 261 | Pai: 7710 | Level: 4
Vertice: 262 | Pai: 3848 | Level: 4
Vertice: 263 | Pai: 5648 | Level: 4
Vertice: 264 | Pai: 7663 | Level: 3
Vertice: 265 | Pai: 8538 | Level: 3
Vertice: 266 | Pai: 4749 | Level: 3
Vertice: 267 | Pai: 7004 | Level: 4
Vertice: 268 | Pai: 742 | Level: 2
Vertice: 269 | Pai: 6852 | Level: 4
Vertice: 270 | Pai: 4183 | Level: 3
Vertice: 271 | Pai: 3470 | Level: 4
Vertice: 272 | Pai: 2308 | Level: 3
Vertice: 273 | Pai: 387 | Level: 4
Vertice: 274 | Pai: 6398 | Level: 4
Vertice: 275 | Pai: 8573 | Level: 4
Vertice: 276 | Pai: 2011 | Level: 3
Vertice: 277 | Pai: 6132 | Level: 3
Vertice: 278 | Pai: 8068 | Level: 3
Vertice: 279 | Pai: 1005 | Level: 3
Vertice: 280 | Pai: 5781 | Level: 4
