Vertice: 1 | Pai: 641870 | Level: 1222019
Vertice: 2 | Pai: -1 | Level: -1
Vertice: 3 | Pai: 0 | Level: 0
Vertice: 4 | Pai: -1 | Level: -1
Vertice: 5 | Pai: 1021827 | Level: 254069
Vertice: 6 | Pai: -1 | Level: -1
Vertice: 7 | Pai: 4083875 | Level: 1890742
Vertice: 8 | Pai: -1 | Level: -1
Vertice: 9 | Pai: 4697760 | Level: 1298843
Vertice: 10 | Pai: 905955 | Level: 1846333
Vertice: 11 | Pai: -1 | Level: -1
Vertice: 12 | Pai: -1 | Level: -1
Vertice: 13 | Pai: 1854033 | Level: 1377095
Vertice: 14 | Pai: -1 | Level: -1
Vertice: 15 | Pai: -1 | Level: -1
Vertice: 16 | Pai: -1 | Level: -1
Vertice: 17 | Pai: -1 | Level: -1
Vertice: 18 | Pai: -1 | Level: -1
Vertice: 19 | Pai: 4429737 | Level: 1892748
Vertice: 20 | Pai: -1 | Level: -1
Vertice: 21 | Pai: -1 | Level: -1
Vertice: 22 | Pai: -1 | Level: -1
Vertice: 23 | Pai: 3065608 | Level: 789690
Vertice: 24 | Pai: 1266881 | Level: 1268916
Vertice: 25 | Pai: -1 | Level: -1
Vertice: 26 | Pai: 4812195 | Level: 1024952
Vertice: 27 | Pai: -1 | Level: -1
Vertice: 28 | Pai: -1 | Level: -1
Vertice: 29 | Pai: -1 | Level: -1
Vertice: 30 | Pai: 2502539 | Level: 1978536
Vertice: 31 | Pai: 201111 | Level: 1390656
Vertice: 32 | Pai: 2972854 | Level: 1447460
Vertice: 33 | Pai: 603353 | Level: 588506
Vertice: 34 | Pai: -1 | Level: -1
Vertice: 35 | Pai: -1 | Level: -1
Vertice: 36 | Pai: 3777 | Level: 1292645
Vertice: 37 | Pai: -1 | Level: -1
Vertice: 38 | Pai: -1 | Level: -1
Vertice: 39 | Pai: -1 | Level: -1
Vertice: 40 | Pai: 2210298 | Level: 937691
Vertice: 41 | Pai: -1 | Level: -1
Vertice: 42 | Pai: -1 | Level: -1
Vertice: 43 | Pai: 1816103 | Level: 1829867
Vertice: 44 | Pai: 815122 | Level: 593953
Vertice: 45 | Pai: -1 | Level: -1
Vertice: 46 | Pai: 1802569 | Level: 150978
Vertice: 47 | Pai: 2480587 | Level: 1206218
Vertice: 48 | Pai: -1 | Level: -1
Vertice: 49 | Pai: -1 | Level: -1
Vertice: 50 | Pai: 2547524 | Level: 166539
Vertice: 51 | Pai: 4223027 | Level: 1349682
Vertice: 52 | Pai: 527783 | Level: 1988258
Vertice: 53 | Pai: -1 | Level: -1
Vertice: 54 | Pai: -1 | Level: -1
Vertice: 55 | Pai: -1 | Level: -1
Vertice: 56 | Pai: 187528 | Level: 985186
Vertice: 57 | Pai: -1 | Level: -1
Vertice: 58 | Pai: -1 | Level: -1
Vertice: 59 | Pai: -1 | Level: -1
Vertice: 60 | Pai: 3533555 | Level: 164112
Vertice: 61 | Pai: 344002 | Level: 1322879
Vertice: 62 | Pai: 2240167 | Level: 197162
Vertice: 63 | Pai: -1 | Level: -1
Vertice: 64 | Pai: 3818123 | Level: 1976807
Vertice: 65 | Pai: 1443714 | Level: 1457408
Vertice: 66 | Pai: 2288818 | Level: 1861652
Vertice: 67 | Pai: 4205794 | Level: 680293
Vertice: 68 | Pai: -1 | Level: -1
Vertice: 69 | Pai: 339562 | Level: 1453
Vertice: 70 | Pai: 2498308 | Level: 110201
Vertice: 71 | Pai: -1 | Level: -1
Vertice: 72 | Pai: 4588046 | Level: 1880744
Vertice: 73 | Pai: 963542 | Level: 1150960
Vertice: 74 | Pai: -1 | Level: -1
Vertice: 75 | Pai: 3317914 | Level: 1936871
Vertice: 76 | Pai: -1 | Level: -1
Vertice: 77 | Pai: -1 | Level: -1
Vertice: 78 | Pai: 4065342 | Level: 342092
Vertice: 79 | Pai: 3254741 | Level: 1165769
Vertice: 80 | Pai: -1 | Level: -1
Vertice: 81 | Pai: -1 | Level: -1
Vertice: 82 | Pai: -1 | Level: -1
Vertice: 83 | Pai: 2241047 | Level: 391593
Vertice: 84 | Pai: -1 | Level: -1
Vertice: 85 | Pai: -1 | Level: -1
Vertice: 86 | Pai: -1 | Level: -1
Vertice: 87 | Pai: -1 | Level: -1
Vertice: 88 | Pai: -1 | Level: -1
Vertice: 89 | Pai: 4343956 | Level: 247277
Vertice: 90 | Pai: 694302 | Level: 1193260
Vertice: 91 | Pai: -1 | Level: -1
Vertice: 92 | Pai: -1 | Level: -1
Vertice: 93 | Pai: 450237 | Level: 1861744
Vertice: 94 | Pai: 4519356 | Level: 1567534
Vertice: 95 | Pai: -1 | Level: -1
Vertice: 96 | Pai: -1 | Level: -1
Vertice: 97 | Pai: -1 | Level: -1
Vertice: 98 | Pai: -1 | Level: -1
Vertice: 99 | Pai: 3666637 | Level: 1364362
Vertice: 100 | Pai: 1092907 | Level: 1911253
