Vertice: 1 | Pai: -1 | Level: -1
Vertice: 2 | Pai: 0 | Level: 0
Vertice: 3 | Pai: -1 | Level: -1
Vertice: 4 | Pai: 2817888 | Level: 5
Vertice: 5 | Pai: 4556560 | Level: 4
Vertice: 6 | Pai: 4237097 | Level: 4
Vertice: 7 | Pai: 2426923 | Level: 5
Vertice: 8 | Pai: -1 | Level: -1
Vertice: 9 | Pai: -1 | Level: -1
Vertice: 10 | Pai: 1677854 | Level: 4
Vertice: 11 | Pai: -1 | Level: -1
Vertice: 12 | Pai: 2571669 | Level: 5
Vertice: 13 | Pai: 4782984 | Level: 5
Vertice: 14 | Pai: -1 | Level: -1
Vertice: 15 | Pai: 821272 | Level: 4
Vertice: 16 | Pai: 3795962 | Level: 5
Vertice: 17 | Pai: -1 | Level: -1
Vertice: 18 | Pai: -1 | Level: -1
Vertice: 19 | Pai: -1 | Level: -1
Vertice: 20 | Pai: 4095628 | Level: 5
Vertice: 21 | Pai: 3548124 | Level: 5
Vertice: 22 | Pai: 4018793 | Level: 5
Vertice: 23 | Pai: 1607239 | Level: 4
Vertice: 24 | Pai: 940333 | Level: 5
Vertice: 25 | Pai: 4435404 | Level: 5
Vertice: 26 | Pai: -1 | Level: -1
Vertice: 27 | Pai: 4712903 | Level: 5
Vertice: 28 | Pai: 2616223 | Level: 5
Vertice: 29 | Pai: 1090221 | Level: 5
Vertice: 30 | Pai: 4231681 | Level: 5
Vertice: 31 | Pai: 3230540 | Level: 5
Vertice: 32 | Pai: 1094274 | Level: 5
Vertice: 33 | Pai: -1 | Level: -1
Vertice: 34 | Pai: -1 | Level: -1
Vertice: 35 | Pai: 2915079 | Level: 5
Vertice: 36 | Pai: 932395 | Level: 5
Vertice: 37 | Pai: -1 | Level: -1
Vertice: 38 | Pai: -1 | Level: -1
Vertice: 39 | Pai: 2303707 | Level: 4
Vertice: 40 | Pai: -1 | Level: -1
Vertice: 41 | Pai: -1 | Level: -1
Vertice: 42 | Pai: -1 | Level: -1
Vertice: 43 | Pai: 1596432 | Level: 5
Vertice: 44 | Pai: 563505 | Level: 5
Vertice: 45 | Pai: -1 | Level: -1
Vertice: 46 | Pai: -1 | Level: -1
Vertice: 47 | Pai: -1 | Level: -1
Vertice: 48 | Pai: -1 | Level: -1
Vertice: 49 | Pai: 822388 | Level: 4
Vertice: 50 | Pai: -1 | Level: -1
Vertice: 51 | Pai: -1 | Level: -1
Vertice: 52 | Pai: -1 | Level: -1
Vertice: 53 | Pai: -1 | Level: -1
Vertice: 54 | Pai: -1 | Level: -1
Vertice: 55 | Pai: 718561 | Level: 5
Vertice: 56 | Pai: 1528381 | Level: 5
Vertice: 57 | Pai: 3291854 | Level: 5
Vertice: 58 | Pai: 1319086 | Level: 5
Vertice: 59 | Pai: -1 | Level: -1
Vertice: 60 | Pai: 2852062 | Level: 5
Vertice: 61 | Pai: 785424 | Level: 4
Vertice: 62 | Pai: 3892553 | Level: 5
Vertice: 63 | Pai: 4827359 | Level: 5
Vertice: 64 | Pai: 995881 | Level: 5
Vertice: 65 | Pai: 986190 | Level: 5
Vertice: 66 | Pai: 32801 | Level: 5
Vertice: 67 | Pai: -1 | Level: -1
Vertice: 68 | Pai: -1 | Level: -1
Vertice: 69 | Pai: 4090750 | Level: 5
Vertice: 70 | Pai: -1 | Level: -1
Vertice: 71 | Pai: -1 | Level: -1
Vertice: 72 | Pai: 688835 | Level: 5
Vertice: 73 | Pai: 177852 | Level: 5
Vertice: 74 | Pai: -1 | Level: -1
Vertice: 75 | Pai: 2862957 | Level: 5
Vertice: 76 | Pai: -1 | Level: -1
Vertice: 77 | Pai: 1772881 | Level: 5
Vertice: 78 | Pai: -1 | Level: -1
Vertice: 79 | Pai: 2371678 | Level: 5
Vertice: 80 | Pai: 916557 | Level: 5
Vertice: 81 | Pai: -1 | Level: -1
Vertice: 82 | Pai: -1 | Level: -1
Vertice: 83 | Pai: 3083667 | Level: 4
Vertice: 84 | Pai: -1 | Level: -1
Vertice: 85 | Pai: -1 | Level: -1
Vertice: 86 | Pai: 3853276 | Level: 5
Vertice: 87 | Pai: 3889341 | Level: 4
Vertice: 88 | Pai: -1 | Level: -1
Vertice: 89 | Pai: 4586629 | Level: 5
Vertice: 90 | Pai: 279646 | Level: 5
Vertice: 91 | Pai: 949363 | Level: 5
Vertice: 92 | Pai: -1 | Level: -1
Vertice: 93 | Pai: -1 | Level: -1
Vertice: 94 | Pai: -1 | Level: -1
Vertice: 95 | Pai: -1 | Level: -1
Vertice: 96 | Pai: -1 | Level: -1
Vertice: 97 | Pai: -1 | Level: -1
Vertice: 98 | Pai: -1 | Level: -1
Vertice: 99 | Pai: 4661844 | Level: 5
Vertice: 100 | Pai: 927482 | Level: 5
