Vertice: 1 | Pai: 7595 | Level: 4
Vertice: 2 | Pai: 3556 | Level: 3
Vertice: 3 | Pai: 0 | Level: 0
Vertice: 4 | Pai: 8075 | Level: 3
Vertice: 5 | Pai: 147 | Level: 4
Vertice: 6 | Pai: 2875 | Level: 3
Vertice: 7 | Pai: 7928 | Level: 3
Vertice: 8 | Pai: 9605 | Level: 3
Vertice: 9 | Pai: 7706 | Level: 3
Vertice: 10 | Pai: 7685 | Level: 3
Vertice: 11 | Pai: 1492 | Level: 4
Vertice: 12 | Pai: 4994 | Level: 3
Vertice: 13 | Pai: 441 | Level: 4
Vertice: 14 | Pai: 5510 | Level: 2
Vertice: 15 | Pai: 356 | Level: 2
Vertice: 16 | Pai: 9395 | Level: 3
Vertice: 17 | Pai: 5879 | Level: 3
Vertice: 18 | Pai: 7662 | Level: 3
Vertice: 19 | Pai: 8447 | Level: 4
Vertice: 20 | Pai: 9429 | Level: 4
Vertice: 21 | Pai: 6080 | Level: 4
Vertice: 22 | Pai: 684 | Level: 4
Vertice: 23 | Pai: 1206 | Level: 3
Vertice: 24 | Pai: 4994 | Level: 3
Vertice: 25 | Pai: 3303 | Level: 3
Vertice: 26 | Pai: 1332 | Level: 3
Vertice: 27 | Pai: 6902 | Level: 3
Vertice: 28 | Pai: 4994 | Level: 3
Vertice: 29 | Pai: 2875 | Level: 3
Vertice: 30 | Pai: 5783 | Level: 3
Vertice: 31 | Pai: 1655 | Level: 4
Vertice: 32 | Pai: 5500 | Level: 3
Vertice: 33 | Pai: 2253 | Level: 3
Vertice: 34 | Pai: 5700 | Level: 4
Vertice: 35 | Pai: 8380 | Level: 4
Vertice: 36 | Pai: 1495 | Level: 4
Vertice: 37 | Pai: 2732 | Level: 3
Vertice: 38 | Pai: 2527 | Level: 4
Vertice: 39 | Pai: 3003 | Level: 3
Vertice: 40 | Pai: 4988 | Level: 3
Vertice: 41 | Pai: 7527 | Level: 3
Vertice: 42 | Pai: 3638 | Level: 4
Vertice: 43 | Pai: 4192 | Level: 4
Vertice: 44 | Pai: 9562 | Level: 4
Vertice: 45 | Pai: 9350 | Level: 3
Vertice: 46 | Pai: 6630 | Level: 3
Vertice: 47 | Pai: 3226 | Level: 4
Vertice: 48 | Pai: 2917 | Level: 3
Vertice: 49 | Pai: 8891 | Level: 4
Vertice: 50 | Pai: 3764 | Level: 4
Vertice: 51 | Pai: 3690 | Level: 4
Vertice: 52 | Pai: 5121 | Level: 3
Vertice: 53 | Pai: 5856 | Level: 3
Vertice: 54 | Pai: 4994 | Level: 3
Vertice: 55 | Pai: 3467 | Level: 4
Vertice: 56 | Pai: 6125 | Level: 4
Vertice: 57 | Pai: 6630 | Level: 3
Vertice: 58 | Pai: 3717 | Level: 3
Vertice: 59 | Pai: 3978 | Level: 3
Vertice: 60 | Pai: 1861 | Level: 4
Vertice: 61 | Pai: 3505 | Level: 3
Vertice: 62 | Pai: 6314 | Level: 3
Vertice: 63 | Pai: 6207 | Level: 4
Vertice: 64 | Pai: 4023 | Level: 3
Vertice: 65 | Pai: 9730 | Level: 3
Vertice: 66 | Pai: 9094 | Level: 4
Vertice: 67 | Pai: 6080 | Level: 4
Vertice: 68 | Pai: 4718 | Level: 3
Vertice: 69 | Pai: 2116 | Level: 3
Vertice: 70 | Pai: 6546 | Level: 3
Vertice: 71 | Pai: 1266 | Level: 4
Vertice: 72 | Pai: 1563 | Level: 3
Vertice: 73 | Pai: 1006 | Level: 3
Vertice: 74 | Pai: 5978 | Level: 3
Vertice: 75 | Pai: 3468 | Level: 4
Vertice: 76 | Pai: 7445 | Level: 3
Vertice: 77 | Pai: 4554 | Level: 4
Vertice: 78 | Pai: 3205 | Level: 3
Vertice: 79 | Pai: 1082 | Level: 3
Vertice: 80 | Pai: 898 | Level: 3
Vertice: 81 | Pai: 7563 | Level: 3
Vertice: 82 | Pai: 7220 | Level: 3
Vertice: 83 | Pai: 6232 | Level: 3
Vertice: 84 | Pai: 3172 | Level: 4
Vertice: 85 | Pai: 7832 | Level: 3
Vertice: 86 | Pai: 5783 | Level: 3
Vertice: 87 | Pai: 920 | Level: 2
Vertice: 88 | Pai: 9241 | Level: 3
Vertice: 89 | Pai: 9981 | Level: 4
Vertice: 90 | Pai: 514 | Level: 4
Vertice: 91 | Pai: 3717 | Level: 3
Vertice: 92 | Pai: 1094 | Level: 4
Vertice: 93 | Pai: 3527 | Level: 3
